District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Rural_Households,Urban_Households,Households
444,MADHYA PRADESH,Bhopal,2371061,1236130,1134931,1660690,920314,740376,1755861,525434,23432,10789,21688,25950,335,7572,118893,581826,700719
445,MADHYA PRADESH,Sehore,1311332,683743,627589,780362,469208,311154,1163607,137980,1404,640,357,6232,66,1046,270427,59220,329647
446,MADHYA PRADESH,Raisen,1331597,700358,631239,820220,479093,341127,1195235,120331,1725,2262,253,10637,190,964,251272,74441,325713
447,MADHYA PRADESH,Betul,1575362,799236,776126,939769,529783,409986,1505745,37590,3271,1078,9651,3759,13048,1220,318945,87704,406649
448,MADHYA PRADESH,Harda,570465,294838,275627,352550,203807,148743,527462,38640,683,676,93,1573,55,1283,112714,31845,144559
449,MADHYA PRADESH,Hoshangabad,1241350,648725,592625,810644,469199,341445,1175203,52269,4453,3127,1550,3888,107,753,209650,105746,315396
450,MADHYA PRADESH,Katni,1292042,662013,630029,790773,460583,330190,1240650,37232,3158,1167,157,5342,2643,1693,276151,72880,349031
451,MADHYA PRADESH,Jabalpur,2463289,1277278,1186011,1756468,980307,776161,2159065,203652,23142,13256,4320,33728,21010,5116,272284,352477,624761
452,MADHYA PRADESH,Narsimhapur,1091854,568810,523044,718785,413491,305294,1038628,39048,914,997,262,8125,2873,1007,230659,53059,283718
453,MADHYA PRADESH,Dindori,704524,351913,352611,378714,222759,155955,605435,6736,4238,260,61,687,84006,3101,218021,9774,227795
454,MADHYA PRADESH,Mandla,1054905,525272,529633,604962,348033,256929,849518,16558,12450,436,297,1789,170533,3324,279674,37258,316932
455,MADHYA PRADESH,Chhindwara,2090922,1064468,1026454,1294198,731294,562904,1923920,100692,4893,2258,24471,7830,25771,1087,413142,140802,553944
456,MADHYA PRADESH,Seoni,1379131,695879,683252,864194,485341,378853,1145052,79739,1857,360,7288,4982,135315,4538,335045,47542,382587
457,MADHYA PRADESH,Balaghat,1701698,842178,859520,1147623,626468,521155,1519384,38542,5295,1050,72162,4778,58064,2423,400074,70793,470867
458,MADHYA PRADESH,Guna,1241519,649362,592157,653980,400537,253443,1172248,49203,1208,3271,529,13474,52,1534,212765,72320,285085
459,MADHYA PRADESH,Ashoknagar,845071,443837,401234,469109,290304,178805,778214,40707,635,8009,1352,15094,27,1033,169606,37135,206741
